concept,frequency,num texts,tf-idf,corpus tf-idf,filename
tuberculin,1,1,2.4756713,2.4756713,pubmed_small#80
laden,1,1,2.4756713,2.4756713,pubmed_small#169
prevalent,1,1,2.4756713,2.4756713,pubmed_small#49
nonworking,1,1,2.4756713,2.4756713,pubmed_small#294
substances,1,1,2.4756713,2.4756713,pubmed_small#95
indwelling,1,1,2.4756713,2.4756713,pubmed_small#245
deoxycortisol,1,1,2.4756713,2.4756713,pubmed_small#260
preapplication,1,1,2.4756713,2.4756713,pubmed_small#256
viewing,1,1,2.4756713,2.4756713,pubmed_small#232
hydronephrotic,1,1,2.4756713,2.4756713,pubmed_small#216
plant,1,1,2.4756713,2.4756713,pubmed_small#167
plans,1,1,2.4756713,2.4756713,pubmed_small#294
parathyroidectomies,1,1,2.4756713,2.4756713,pubmed_small#32
korsmeyer,1,1,2.4756713,2.4756713,pubmed_small#156
attenuates,1,1,2.4756713,2.4756713,pubmed_small#38
establishing,1,1,2.4756713,2.4756713,pubmed_small#232
velocity,1,1,2.4756713,2.4756713,pubmed_small#266
remnants,1,1,2.4756713,2.4756713,pubmed_small#22
exceedingly,1,1,2.4756713,2.4756713,pubmed_small#133
wauters,1,1,2.4756713,2.4756713,pubmed_small#30
goldfarb,1,1,2.4756713,2.4756713,pubmed_small#68
tumoral,1,1,2.4756713,2.4756713,pubmed_small#193
vasconez,1,1,2.4756713,2.4756713,pubmed_small#85
comedocarcinoma,1,1,2.4756713,2.4756713,pubmed_small#75
vitris,1,1,2.4756713,2.4756713,pubmed_small#188
nutritional,1,1,2.4756713,2.4756713,pubmed_small#55
beranek,1,1,2.4756713,2.4756713,pubmed_small#154
steel,1,1,2.4756713,2.4756713,pubmed_small#299
camera,1,1,2.4756713,2.4756713,pubmed_small#195
premarin,1,1,2.4756713,2.4756713,pubmed_small#70
clearance,1,1,2.4756713,2.4756713,pubmed_small#28
plate,1,1,2.4756713,2.4756713,pubmed_small#67
tie,1,1,2.4756713,2.4756713,pubmed_small#122
gonzalez,1,1,2.4756713,2.4756713,pubmed_small#274
originating,1,1,2.4756713,2.4756713,pubmed_small#54
aggregation,1,1,2.4756713,2.4756713,pubmed_small#199
allocated,1,1,2.4756713,2.4756713,pubmed_small#42
diethyliminodiacetic,1,1,2.4756713,2.4756713,pubmed_small#144
tibial,1,1,2.4756713,2.4756713,pubmed_small#228
lipooligosaccharide,1,1,2.4756713,2.4756713,pubmed_small#125
glomerulosa,1,1,2.4756713,2.4756713,pubmed_small#120
starting,1,1,2.4756713,2.4756713,pubmed_small#98
accurate,1,1,2.4756713,2.4756713,pubmed_small#165
polyradiculopathy,1,1,2.4756713,2.4756713,pubmed_small#63
threefold,1,1,2.4756713,2.4756713,pubmed_small#260
premotor,1,1,2.4756713,2.4756713,pubmed_small#73
world,1,1,2.4756713,2.4756713,pubmed_small#48
condon,1,1,2.4756713,2.4756713,pubmed_small#79
howell,1,1,2.4756713,2.4756713,pubmed_small#263
saturated,1,1,2.4756713,2.4756713,pubmed_small#113
bismuth,1,1,2.4756713,2.4756713,pubmed_small#30
preventing,1,1,2.4756713,2.4756713,pubmed_small#237
fenaux,1,1,2.4756713,2.4756713,pubmed_small#289
stern,1,1,2.4756713,2.4756713,pubmed_small#33
pentobarbital,1,1,2.4756713,2.4756713,pubmed_small#140
methamphetamine,1,1,2.4756713,2.4756713,pubmed_small#18
struck,1,1,2.4756713,2.4756713,pubmed_small#15
zacur,1,1,2.4756713,2.4756713,pubmed_small#260
worms,1,1,2.4756713,2.4756713,pubmed_small#7
residing,1,1,2.4756713,2.4756713,pubmed_small#240
exenteration,1,1,2.4756713,2.4756713,pubmed_small#287
sloan,1,1,2.4756713,2.4756713,pubmed_small#70
agnew,1,1,2.4756713,2.4756713,pubmed_small#45
fry,1,1,2.4756713,2.4756713,pubmed_small#82
random,1,1,2.4756713,2.4756713,pubmed_small#286
highlighting,1,1,2.4756713,2.4756713,pubmed_small#167
aberrant,1,1,2.4756713,2.4756713,pubmed_small#46
jaubert,1,1,2.4756713,2.4756713,pubmed_small#289
sorsby,1,1,2.4756713,2.4756713,pubmed_small#121
govindarajan,1,1,2.4756713,2.4756713,pubmed_small#37
petrovich,1,1,2.4756713,2.4756713,pubmed_small#274
tax,1,1,2.4756713,2.4756713,pubmed_small#294
aqueous,1,1,2.4756713,2.4756713,pubmed_small#281
aotus,1,1,2.4756713,2.4756713,pubmed_small#77
cutson,1,1,2.4756713,2.4756713,pubmed_small#11
accurately,1,1,2.4756713,2.4756713,pubmed_small#60
cappelli,1,1,2.4756713,2.4756713,pubmed_small#140
ectopia,1,1,2.4756713,2.4756713,pubmed_small#22
hairless,1,1,2.4756713,2.4756713,pubmed_small#184
murakami,1,1,2.4756713,2.4756713,pubmed_small#35
sequelae,1,1,2.4756713,2.4756713,pubmed_small#296
deoxycorticosterone,1,1,2.4756713,2.4756713,pubmed_small#120
virulence,1,1,2.4756713,2.4756713,pubmed_small#256
hannigan,1,1,2.4756713,2.4756713,pubmed_small#20
splenic,1,1,2.4756713,2.4756713,pubmed_small#267
electrothermic,1,1,2.4756713,2.4756713,pubmed_small#57
bakal,1,1,2.4756713,2.4756713,pubmed_small#9
react,1,1,2.4756713,2.4756713,pubmed_small#80
akin,1,1,2.4756713,2.4756713,pubmed_small#73
kinase,1,1,2.4756713,2.4756713,pubmed_small#255
thinning,1,1,2.4756713,2.4756713,pubmed_small#287
interactions,1,1,2.4756713,2.4756713,pubmed_small#67
houdini,1,1,2.4756713,2.4756713,pubmed_small#131
enevoldson,1,1,2.4756713,2.4756713,pubmed_small#217
akama,1,1,2.4756713,2.4756713,pubmed_small#115
supplementing,1,1,2.4756713,2.4756713,pubmed_small#95
schachter,1,1,2.4756713,2.4756713,pubmed_small#95
prolyl,1,1,2.4756713,2.4756713,pubmed_small#173
granulation,1,1,2.4756713,2.4756713,pubmed_small#199
rosenthall,1,1,2.4756713,2.4756713,pubmed_small#144
promising,1,1,2.4756713,2.4756713,pubmed_small#299
protects,1,1,2.4756713,2.4756713,pubmed_small#2
tended,1,1,2.4756713,2.4756713,pubmed_small#242
judge,1,1,2.4756713,2.4756713,pubmed_small#79
tender,1,1,2.4756713,2.4756713,pubmed_small#148
wangberg,1,1,2.4756713,2.4756713,pubmed_small#72
grant,1,1,2.4756713,2.4756713,pubmed_small#206
box,1,1,2.4756713,2.4756713,pubmed_small#283
parasitemias,1,1,2.4756713,2.4756713,pubmed_small#77
boy,1,1,2.4756713,2.4756713,pubmed_small#44
prompted,1,1,2.4756713,2.4756713,pubmed_small#57
cuboidal,1,1,2.4756713,2.4756713,pubmed_small#194
bioavailability,1,1,2.4756713,2.4756713,pubmed_small#82
hatzis,1,1,2.4756713,2.4756713,pubmed_small#296
mostly,1,1,2.4756713,2.4756713,pubmed_small#138
strate,1,1,2.4756713,2.4756713,pubmed_small#15
schmader,1,1,2.4756713,2.4756713,pubmed_small#11
protective,1,1,2.4756713,2.4756713,pubmed_small#226
pont,1,1,2.4756713,2.4756713,pubmed_small#28
ruebush,1,1,2.4756713,2.4756713,pubmed_small#77
leight,1,1,2.4756713,2.4756713,pubmed_small#95
saric,1,1,2.4756713,2.4756713,pubmed_small#6
crystals,1,1,2.4756713,2.4756713,pubmed_small#249
wax,1,1,2.4756713,2.4756713,pubmed_small#133
acutely,1,1,2.4756713,2.4756713,pubmed_small#288
wbc,1,1,2.4756713,2.4756713,pubmed_small#111
bevilacqua,1,1,2.4756713,2.4756713,pubmed_small#102
saissy,1,1,2.4756713,2.4756713,pubmed_small#188
keratoses,1,1,2.4756713,2.4756713,pubmed_small#14
unmedicated,1,1,2.4756713,2.4756713,pubmed_small#258
pole,1,1,2.4756713,2.4756713,pubmed_small#276
anxiety,1,1,2.4756713,2.4756713,pubmed_small#258
automobile,1,1,2.4756713,2.4756713,pubmed_small#15
strawn,1,1,2.4756713,2.4756713,pubmed_small#2
baker,1,1,2.4756713,2.4756713,pubmed_small#285
elias,1,1,2.4756713,2.4756713,pubmed_small#184
creates,1,1,2.4756713,2.4756713,pubmed_small#95
pakistan,1,1,2.4756713,2.4756713,pubmed_small#49
exuberant,1,1,2.4756713,2.4756713,pubmed_small#229
rhodes,1,1,2.4756713,2.4756713,pubmed_small#239
poppiti,1,1,2.4756713,2.4756713,pubmed_small#29
stores,1,1,2.4756713,2.4756713,pubmed_small#266
direction,1,1,2.4756713,2.4756713,pubmed_small#210
shbaklo,1,1,2.4756713,2.4756713,pubmed_small#251
evans,1,1,2.4756713,2.4756713,pubmed_small#172
platet,1,1,2.4756713,2.4756713,pubmed_small#1
manometric,1,1,2.4756713,2.4756713,pubmed_small#4
elmore,1,1,2.4756713,2.4756713,pubmed_small#250
hankins,1,1,2.4756713,2.4756713,pubmed_small#190
aneuploidy,1,1,2.4756713,2.4756713,pubmed_small#109
ezekowitz,1,1,2.4756713,2.4756713,pubmed_small#153
balance,1,1,2.4756713,2.4756713,pubmed_small#120
cleary,1,1,2.4756713,2.4756713,pubmed_small#179
deviations,1,1,2.4756713,2.4756713,pubmed_small#287
mitogens,1,1,2.4756713,2.4756713,pubmed_small#284
etiological,1,1,2.4756713,2.4756713,pubmed_small#6
abraham,1,1,2.4756713,2.4756713,pubmed_small#57
eberspacher,1,1,2.4756713,2.4756713,pubmed_small#256
libby,1,1,2.4756713,2.4756713,pubmed_small#267
geller,1,1,2.4756713,2.4756713,pubmed_small#191
rimm,1,1,2.4756713,2.4756713,pubmed_small#236
proksch,1,1,2.4756713,2.4756713,pubmed_small#184
disruptive,1,1,2.4756713,2.4756713,pubmed_small#283
slope,1,1,2.4756713,2.4756713,pubmed_small#142
prolactin,1,1,2.4756713,2.4756713,pubmed_small#269
akizuki,1,1,2.4756713,2.4756713,pubmed_small#12
clinicians,1,1,2.4756713,2.4756713,pubmed_small#171
stansby,1,1,2.4756713,2.4756713,pubmed_small#238
hidano,1,1,2.4756713,2.4756713,pubmed_small#252
revertant,1,1,2.4756713,2.4756713,pubmed_small#295
muscarinic,1,1,2.4756713,2.4756713,pubmed_small#266
mcleod,1,1,2.4756713,2.4756713,pubmed_small#96
buchner,1,1,2.4756713,2.4756713,pubmed_small#204
vasospasm,1,1,2.4756713,2.4756713,pubmed_small#33
merle,1,1,2.4756713,2.4756713,pubmed_small#91
repetitive,1,1,2.4756713,2.4756713,pubmed_small#295
syndromatic,1,1,2.4756713,2.4756713,pubmed_small#6
pore,1,1,2.4756713,2.4756713,pubmed_small#256
transcribed,1,1,2.4756713,2.4756713,pubmed_small#247
assigned,1,1,2.4756713,2.4756713,pubmed_small#170
comprising,1,1,2.4756713,2.4756713,pubmed_small#280
sawamura,1,1,2.4756713,2.4756713,pubmed_small#64
dodecyl,1,1,2.4756713,2.4756713,pubmed_small#241
crissman,1,1,2.4756713,2.4756713,pubmed_small#109
woo,1,1,2.4756713,2.4756713,pubmed_small#142
chromosome,1,1,2.4756713,2.4756713,pubmed_small#19
perpetuated,1,1,2.4756713,2.4756713,pubmed_small#13
klocke,1,1,2.4756713,2.4756713,pubmed_small#10
services,1,1,2.4756713,2.4756713,pubmed_small#294
recognised,1,1,2.4756713,2.4756713,pubmed_small#133
kamiyama,1,1,2.4756713,2.4756713,pubmed_small#54
hysterical,1,1,2.4756713,2.4756713,pubmed_small#101
dietl,1,1,2.4756713,2.4756713,pubmed_small#135
diaschisis,1,1,2.4756713,2.4756713,pubmed_small#73
hemorrhagic,1,1,2.4756713,2.4756713,pubmed_small#193
octapeptide,1,1,2.4756713,2.4756713,pubmed_small#263
silva,1,1,2.4756713,2.4756713,pubmed_small#194
michie,1,1,2.4756713,2.4756713,pubmed_small#268
glutathione,1,1,2.4756713,2.4756713,pubmed_small#250
eliminating,1,1,2.4756713,2.4756713,pubmed_small#284
null,1,1,2.4756713,2.4756713,pubmed_small#178
physiologic,1,1,2.4756713,2.4756713,pubmed_small#15
polymorphonuclear,1,1,2.4756713,2.4756713,pubmed_small#119
inability,1,1,2.4756713,2.4756713,pubmed_small#149
lipopolysaccharides,1,1,2.4756713,2.4756713,pubmed_small#267
discontinuation,1,1,2.4756713,2.4756713,pubmed_small#162
coated,1,1,2.4756713,2.4756713,pubmed_small#262
specifications,1,1,2.4756713,2.4756713,pubmed_small#126
adipose,1,1,2.4756713,2.4756713,pubmed_small#112
nonpigmented,1,1,2.4756713,2.4756713,pubmed_small#239
cassai,1,1,2.4756713,2.4756713,pubmed_small#202
ces,1,1,2.4756713,2.4756713,pubmed_small#169
gherardi,1,1,2.4756713,2.4756713,pubmed_small#208
harigaya,1,1,2.4756713,2.4756713,pubmed_small#44
collagens,1,1,2.4756713,2.4756713,pubmed_small#133
prompt,1,1,2.4756713,2.4756713,pubmed_small#96
appealing,1,1,2.4756713,2.4756713,pubmed_small#110
minigene,1,1,2.4756713,2.4756713,pubmed_small#156
collateral,1,1,2.4756713,2.4756713,pubmed_small#126
gallium,1,1,2.4756713,2.4756713,pubmed_small#238
phonocardiography,1,1,2.4756713,2.4756713,pubmed_small#274
architecture,1,1,2.4756713,2.4756713,pubmed_small#283
biological,1,1,2.4756713,2.4756713,pubmed_small#285
rasaiah,1,1,2.4756713,2.4756713,pubmed_small#41
comfortable,1,1,2.4756713,2.4756713,pubmed_small#165
inserted,1,1,2.4756713,2.4756713,pubmed_small#249
cephalometric,1,1,2.4756713,2.4756713,pubmed_small#167
carotidography,1,1,2.4756713,2.4756713,pubmed_small#274
experimentation,1,1,2.4756713,2.4756713,pubmed_small#61
eligibility,1,1,2.4756713,2.4756713,pubmed_small#79
carney,1,1,2.4756713,2.4756713,pubmed_small#96
pulsair,1,1,2.4756713,2.4756713,pubmed_small#195
directing,1,1,2.4756713,2.4756713,pubmed_small#136
bennett,1,1,2.4756713,2.4756713,pubmed_small#171
maturation,1,1,2.4756713,2.4756713,pubmed_small#84
retrospective,1,1,2.4756713,2.4756713,pubmed_small#19
dempsey,1,1,2.4756713,2.4756713,pubmed_small#19
targeted,1,1,2.4756713,2.4756713,pubmed_small#213
subsalicylate,1,1,2.4756713,2.4756713,pubmed_small#30
analysts,1,1,2.4756713,2.4756713,pubmed_small#53
leonard,1,1,2.4756713,2.4756713,pubmed_small#15
incentives,1,1,2.4756713,2.4756713,pubmed_small#294
journal,1,1,2.4756713,2.4756713,pubmed_small#134
valinluck,1,1,2.4756713,2.4756713,pubmed_small#37
cho,1,1,2.4756713,2.4756713,pubmed_small#162
lipids,1,1,2.4756713,2.4756713,pubmed_small#169
ishihara,1,1,2.4756713,2.4756713,pubmed_small#44
contributing,1,1,2.4756713,2.4756713,pubmed_small#162
nutr,1,1,2.4756713,2.4756713,pubmed_small#169
protecting,1,1,2.4756713,2.4756713,pubmed_small#226
gianaris,1,1,2.4756713,2.4756713,pubmed_small#103
vldl,1,1,2.4756713,2.4756713,pubmed_small#169
anaplastic,1,1,2.4756713,2.4756713,pubmed_small#86
protection,1,1,2.4756713,2.4756713,pubmed_small#294
veith,1,1,2.4756713,2.4756713,pubmed_small#9
axons,1,1,2.4756713,2.4756713,pubmed_small#185
sapino,1,1,2.4756713,2.4756713,pubmed_small#86
generous,1,1,2.4756713,2.4756713,pubmed_small#167
primarily,1,1,2.4756713,2.4756713,pubmed_small#55
habits,1,1,2.4756713,2.4756713,pubmed_small#51
hasegawa,1,1,2.4756713,2.4756713,pubmed_small#60
debridement,1,1,2.4756713,2.4756713,pubmed_small#34
trait,1,1,2.4756713,2.4756713,pubmed_small#258
bypassed,1,1,2.4756713,2.4756713,pubmed_small#4
neuropeptide,1,1,2.4756713,2.4756713,pubmed_small#269
mccaughey,1,1,2.4756713,2.4756713,pubmed_small#113
tomas,1,1,2.4756713,2.4756713,pubmed_small#255
suttorn,1,1,2.4756713,2.4756713,pubmed_small#256
implantable,1,1,2.4756713,2.4756713,pubmed_small#83
classically,1,1,2.4756713,2.4756713,pubmed_small#282
drake,1,1,2.4756713,2.4756713,pubmed_small#168
awotedu,1,1,2.4756713,2.4756713,pubmed_small#97
baseline,1,1,2.4756713,2.4756713,pubmed_small#42
constitute,1,1,2.4756713,2.4756713,pubmed_small#284
elimination,1,1,2.4756713,2.4756713,pubmed_small#82
melanocanthoma,1,1,2.4756713,2.4756713,pubmed_small#204
goodson,1,1,2.4756713,2.4756713,pubmed_small#106
shapiro,1,1,2.4756713,2.4756713,pubmed_small#177
cardiolite,1,1,2.4756713,2.4756713,pubmed_small#28
nephrotoxicity,1,1,2.4756713,2.4756713,pubmed_small#171
sterile,1,1,2.4756713,2.4756713,pubmed_small#87
incision,1,1,2.4756713,2.4756713,pubmed_small#167
modified,1,1,2.4756713,2.4756713,pubmed_small#132
statement,1,1,2.4756713,2.4756713,pubmed_small#253
drain,1,1,2.4756713,2.4756713,pubmed_small#34
moyles,1,1,2.4756713,2.4756713,pubmed_small#143
arabinoside,1,1,2.4756713,2.4756713,pubmed_small#148
tendon,1,1,2.4756713,2.4756713,pubmed_small#142
evaluable,1,1,2.4756713,2.4756713,pubmed_small#289
afford,1,1,2.4756713,2.4756713,pubmed_small#161
stovin,1,1,2.4756713,2.4756713,pubmed_small#26
kaplan,1,1,2.4756713,2.4756713,pubmed_small#269
immunophenotype,1,1,2.4756713,2.4756713,pubmed_small#268
poses,1,1,2.4756713,2.4756713,pubmed_small#119
pasini,1,1,2.4756713,2.4756713,pubmed_small#206
coa,1,1,2.4756713,2.4756713,pubmed_small#153
twitching,1,1,2.4756713,2.4756713,pubmed_small#166
backbro,1,1,2.4756713,2.4756713,pubmed_small#249
eldrup,1,1,2.4756713,2.4756713,pubmed_small#88
obstetricians,1,1,2.4756713,2.4756713,pubmed_small#19
squibb,1,1,2.4756713,2.4756713,pubmed_small#28
attacks,1,1,2.4756713,2.4756713,pubmed_small#64
connection,1,1,2.4756713,2.4756713,pubmed_small#185
nagle,1,1,2.4756713,2.4756713,pubmed_small#158
histoautoradiographic,1,1,2.4756713,2.4756713,pubmed_small#210
cpk,1,1,2.4756713,2.4756713,pubmed_small#163
accelerate,1,1,2.4756713,2.4756713,pubmed_small#2
cleavage,1,1,2.4756713,2.4756713,pubmed_small#193
nonsulfated,1,1,2.4756713,2.4756713,pubmed_small#194
keating,1,1,2.4756713,2.4756713,pubmed_small#101
polypeptides,1,1,2.4756713,2.4756713,pubmed_small#124
constants,1,1,2.4756713,2.4756713,pubmed_small#123
colostomy,1,1,2.4756713,2.4756713,pubmed_small#22
neutralized,1,1,2.4756713,2.4756713,pubmed_small#267
americas,1,1,2.4756713,2.4756713,pubmed_small#181
nonresponse,1,1,2.4756713,2.4756713,pubmed_small#289
mucositis,1,1,2.4756713,2.4756713,pubmed_small#289
overview,1,1,2.4756713,2.4756713,pubmed_small#71
visscher,1,1,2.4756713,2.4756713,pubmed_small#109
restenosed,1,1,2.4756713,2.4756713,pubmed_small#9
calculated,1,1,2.4756713,2.4756713,pubmed_small#4
sign,1,1,2.4756713,2.4756713,pubmed_small#94
utah,1,1,2.4756713,2.4756713,pubmed_small#19
pitcher,1,1,2.4756713,2.4756713,pubmed_small#82
epilepticus,1,1,2.4756713,2.4756713,pubmed_small#21
rhinoscopy,1,1,2.4756713,2.4756713,pubmed_small#186
inoculated,1,1,2.4756713,2.4756713,pubmed_small#85
boronic,1,1,2.4756713,2.4756713,pubmed_small#28
contralaterally,1,1,2.4756713,2.4756713,pubmed_small#73
focused,1,1,2.4756713,2.4756713,pubmed_small#69
coding,1,1,2.4756713,2.4756713,pubmed_small#68
macroaggregated,1,1,2.4756713,2.4756713,pubmed_small#164
devised,1,1,2.4756713,2.4756713,pubmed_small#106
interscapular,1,1,2.4756713,2.4756713,pubmed_small#250
wahrenberg,1,1,2.4756713,2.4756713,pubmed_small#255
kaspar,1,1,2.4756713,2.4756713,pubmed_small#20
station,1,1,2.4756713,2.4756713,pubmed_small#190
preferential,1,1,2.4756713,2.4756713,pubmed_small#80
vigor,1,1,2.4756713,2.4756713,pubmed_small#286
cloaca,1,1,2.4756713,2.4756713,pubmed_small#22
dinarello,1,1,2.4756713,2.4756713,pubmed_small#267
foegh,1,1,2.4756713,2.4756713,pubmed_small#263
confidence,1,1,2.4756713,2.4756713,pubmed_small#289
containment,1,1,2.4756713,2.4756713,pubmed_small#145
message,1,1,2.4756713,2.4756713,pubmed_small#267
entities,1,1,2.4756713,2.4756713,pubmed_small#235
megakaryocytic,1,1,2.4756713,2.4756713,pubmed_small#280
lymphadenopathy,1,1,2.4756713,2.4756713,pubmed_small#187
neovascularization,1,1,2.4756713,2.4756713,pubmed_small#33
strandberg,1,1,2.4756713,2.4756713,pubmed_small#249
concluding,1,1,2.4756713,2.4756713,pubmed_small#232
fibrin,1,1,2.4756713,2.4756713,pubmed_small#283
khalil,1,1,2.4756713,2.4756713,pubmed_small#126
sciot,1,1,2.4756713,2.4756713,pubmed_small#47
histomorphological,1,1,2.4756713,2.4756713,pubmed_small#273
wassilak,1,1,2.4756713,2.4756713,pubmed_small#125
cryosections,1,1,2.4756713,2.4756713,pubmed_small#87
kwak,1,1,2.4756713,2.4756713,pubmed_small#111
standards,1,1,2.4756713,2.4756713,pubmed_small#253
kuwano,1,1,2.4756713,2.4756713,pubmed_small#16
inhibitors,1,1,2.4756713,2.4756713,pubmed_small#199
greatly,1,1,2.4756713,2.4756713,pubmed_small#184
baloh,1,1,2.4756713,2.4756713,pubmed_small#94
epithelioma,1,1,2.4756713,2.4756713,pubmed_small#50
mornet,1,1,2.4756713,2.4756713,pubmed_small#138
lentigines,1,1,2.4756713,2.4756713,pubmed_small#239
automata,1,1,2.4756713,2.4756713,pubmed_small#266
mosselmans,1,1,2.4756713,2.4756713,pubmed_small#193
harrison,1,1,2.4756713,2.4756713,pubmed_small#248
pietribiasi,1,1,2.4756713,2.4756713,pubmed_small#86
reagents,1,1,2.4756713,2.4756713,pubmed_small#183
ferrell,1,1,2.4756713,2.4756713,pubmed_small#30
perforated,1,1,2.4756713,2.4756713,pubmed_small#1
heath,1,1,2.4756713,2.4756713,pubmed_small#108
cameras,1,1,2.4756713,2.4756713,pubmed_small#28
picha,1,1,2.4756713,2.4756713,pubmed_small#285
dilation,1,1,2.4756713,2.4756713,pubmed_small#7
cavanagh,1,1,2.4756713,2.4756713,pubmed_small#149
parathyroids,1,1,2.4756713,2.4756713,pubmed_small#32
causally,1,1,2.4756713,2.4756713,pubmed_small#36
means,1,1,2.4756713,2.4756713,pubmed_small#191
diminishing,1,1,2.4756713,2.4756713,pubmed_small#288
exploring,1,1,2.4756713,2.4756713,pubmed_small#32
generalized,1,1,2.4756713,2.4756713,pubmed_small#220
ruptured,1,1,2.4756713,2.4756713,pubmed_small#194
gerber,1,1,2.4756713,2.4756713,pubmed_small#118
passages,1,1,2.4756713,2.4756713,pubmed_small#250
nondiabetic,1,1,2.4756713,2.4756713,pubmed_small#42
savings,1,1,2.4756713,2.4756713,pubmed_small#145
vos,1,1,2.4756713,2.4756713,pubmed_small#129
rias,1,1,2.4756713,2.4756713,pubmed_small#183
edgar,1,1,2.4756713,2.4756713,pubmed_small#40
blessing,1,1,2.4756713,2.4756713,pubmed_small#286
unfortunately,1,1,2.4756713,2.4756713,pubmed_small#55
kels,1,1,2.4756713,2.4756713,pubmed_small#206
subpopulations,1,1,2.4756713,2.4756713,pubmed_small#296
immunoprecipitable,1,1,2.4756713,2.4756713,pubmed_small#267
gradually,1,1,2.4756713,2.4756713,pubmed_small#155
fatigue,1,1,2.4756713,2.4756713,pubmed_small#286
alexanian,1,1,2.4756713,2.4756713,pubmed_small#179
quadrant,1,1,2.4756713,2.4756713,pubmed_small#192
detailed,1,1,2.4756713,2.4756713,pubmed_small#105
applied,1,1,2.4756713,2.4756713,pubmed_small#184
fibroids,1,1,2.4756713,2.4756713,pubmed_small#49
del,1,1,2.4756713,2.4756713,pubmed_small#194
smanik,1,1,2.4756713,2.4756713,pubmed_small#200
perry,1,1,2.4756713,2.4756713,pubmed_small#15
antilipolytic,1,1,2.4756713,2.4756713,pubmed_small#255
stereomicroscope,1,1,2.4756713,2.4756713,pubmed_small#221
hypo,1,1,2.4756713,2.4756713,pubmed_small#280
laban,1,1,2.4756713,2.4756713,pubmed_small#63
microdialysis,1,1,2.4756713,2.4756713,pubmed_small#67
pathophysiology,1,1,2.4756713,2.4756713,pubmed_small#267
possessing,1,1,2.4756713,2.4756713,pubmed_small#46
ride,1,1,2.4756713,2.4756713,pubmed_small#286
entail,1,1,2.4756713,2.4756713,pubmed_small#294
sartor,1,1,2.4756713,2.4756713,pubmed_small#291
assessments,1,1,2.4756713,2.4756713,pubmed_small#181
bromo,1,1,2.4756713,2.4756713,pubmed_small#290
hepatectomy,1,1,2.4756713,2.4756713,pubmed_small#6
judged,1,1,2.4756713,2.4756713,pubmed_small#220
eumenorrheic,1,1,2.4756713,2.4756713,pubmed_small#260
reduces,1,1,2.4756713,2.4756713,pubmed_small#153
dnas,1,1,2.4756713,2.4756713,pubmed_small#295
luzzi,1,1,2.4756713,2.4756713,pubmed_small#127
soffiantino,1,1,2.4756713,2.4756713,pubmed_small#258
axiotis,1,1,2.4756713,2.4756713,pubmed_small#229
underlie,1,1,2.4756713,2.4756713,pubmed_small#171
demaziere,1,1,2.4756713,2.4756713,pubmed_small#188
deposits,1,1,2.4756713,2.4756713,pubmed_small#283
kappa,1,1,2.4756713,2.4756713,pubmed_small#178
pessimistic,1,1,2.4756713,2.4756713,pubmed_small#91
valves,1,1,2.4756713,2.4756713,pubmed_small#57
neutrophils,1,1,2.4756713,2.4756713,pubmed_small#124
photoactivation,1,1,2.4756713,2.4756713,pubmed_small#33
jacques,1,1,2.4756713,2.4756713,pubmed_small#33
ndiaye,1,1,2.4756713,2.4756713,pubmed_small#188
compensated,1,1,2.4756713,2.4756713,pubmed_small#183
koole,1,1,2.4756713,2.4756713,pubmed_small#293
battery,1,1,2.4756713,2.4756713,pubmed_small#258
lichtman,1,1,2.4756713,2.4756713,pubmed_small#291
paramedian,1,1,2.4756713,2.4756713,pubmed_small#92
giemsa,1,1,2.4756713,2.4756713,pubmed_small#30
doubt,1,1,2.4756713,2.4756713,pubmed_small#36
walters,1,1,2.4756713,2.4756713,pubmed_small#232
imas,1,1,2.4756713,2.4756713,pubmed_small#42
epigastric,1,1,2.4756713,2.4756713,pubmed_small#7
interpreted,1,1,2.4756713,2.4756713,pubmed_small#7
intracoronary,1,1,2.4756713,2.4756713,pubmed_small#299
playing,1,1,2.4756713,2.4756713,pubmed_small#245
shaikh,1,1,2.4756713,2.4756713,pubmed_small#49
enriched,1,1,2.4756713,2.4756713,pubmed_small#80
surprisingly,1,1,2.4756713,2.4756713,pubmed_small#296
ankylosing,1,1,2.4756713,2.4756713,pubmed_small#272
rurally,1,1,2.4756713,2.4756713,pubmed_small#110
kept,1,1,2.4756713,2.4756713,pubmed_small#288
stripping,1,1,2.4756713,2.4756713,pubmed_small#27
predisposing,1,1,2.4756713,2.4756713,pubmed_small#232
virions,1,1,2.4756713,2.4756713,pubmed_small#84
spondylitis,1,1,2.4756713,2.4756713,pubmed_small#272
merrell,1,1,2.4756713,2.4756713,pubmed_small#204
keratinized,1,1,2.4756713,2.4756713,pubmed_small#35
jewish,1,1,2.4756713,2.4756713,pubmed_small#46
streptokinase,1,1,2.4756713,2.4756713,pubmed_small#76
consent,1,1,2.4756713,2.4756713,pubmed_small#212
papers,1,1,2.4756713,2.4756713,pubmed_small#48
bulbectomy,1,1,2.4756713,2.4756713,pubmed_small#185
ipsilaterally,1,1,2.4756713,2.4756713,pubmed_small#73
gordon,1,1,2.4756713,2.4756713,pubmed_small#288
mandatory,1,1,2.4756713,2.4756713,pubmed_small#166
hybridized,1,1,2.4756713,2.4756713,pubmed_small#295
glower,1,1,2.4756713,2.4756713,pubmed_small#42
lavie,1,1,2.4756713,2.4756713,pubmed_small#136
